tipo	PH	PB
1	7.6	0.451
2	8.5	0.106
3	7.2	0.341
4	7.5	0.158
5	7.9	0.251
6	6.8	0.178
7	6.2 	0.321
8	6.5	0.424
9	7.9	0.195
10	8.1	0.520
11	7.2	0.298
12	7.9	0.328
13	7.0	0.152
14	6.5	0.235
15	6.3 	0.351
16	6.9	0.324
17	7.2	0.230
18	7.5	0.139
19	6.4	0.451
20	6.9	0.382
21	6.5	0.320
22	7.1	0.518
23	8.5	0.329
24	7.2	0.128
25	7.6	0.427
26	7.7	0.369
27	6.4	0.424
28	6.0 	0.123
29	6.4	0.229
30	5.5	0.121
31	5.8	0.219
32	4.8	0.278
33	7.9	0.362
34	5.8	0.157
35	8.0	0.525
36	8.1	0.391
37	7.2	0.424
38	7.9	0.405
39	7.1	0.521
40	6.6	0.323
41	6.8 	0.203
42	6.1	0.120
43	7.5	0.128
44	7.2	0.338
45	6.2	0.452
46	6.9	0.225
47	6.5	0.321
48	7.5	0.528
